customer_id,for_month,mrr,last_yr,last_mrr,sig_exp_90,partner_flag,logins,running_experiment_days,utilization,churn_dollars,churned
A1939,12/1/2016,3618,,0,1,0,276,0,0,,1
A1940,12/1/2016,3225,,0,1,1,0,0,0,,1
A1941,12/1/2016,1250,,0,0,1,162,0,0,,1
A1942,12/1/2016,8181,,0,1,0,120,0,0,,1
A1943,12/1/2016,5700,,0,0,0,52,0,0,,1
A1944,12/1/2016,1000,,0,1,0,0,0,0,,1
A1945,12/1/2016,1200,,0,0,0,0,0,0,,1
A1946,12/1/2016,1407,,0,1,0,0,0,0,,1
A1947,12/1/2016,3060,,0,1,1,75,0,0,,1
A1948,12/1/2016,1175,,0,0,0,11,0,0,,1
A1949,12/1/2016,3332,,0,1,0,0,0,0,,1
A1950,12/1/2016,2399,,0,1,1,96,0,0,,1
A1951,12/1/2016,1562,,0,1,1,108,0,0,,1
A1952,12/1/2016,1500,,0,1,0,84,0,0,,1
A1953,12/1/2016,2100,,0,1,0,192,0,0,,1
A1954,12/1/2016,9267,,0,1,0,0,0,0,,1
A1955,11/1/2016,3867,,0,1,0,114,147,7772,,1
A1956,12/1/2016,4526,,0,1,1,80,0,0,,1
A1957,12/1/2016,359,,0,0,0,169,0,0,,1
A1958,12/1/2016,1180,,0,0,0,24,0,0,,1
A1959,12/1/2016,3500,,0,1,1,165,0,0,,1
A1960,12/1/2016,2500,,0,0,0,12,0,0,,1
A1961,12/1/2016,2000,,0,1,1,936,0,0,,1
A1962,12/1/2016,2000,,0,1,0,216,0,0,,1
A1963,12/1/2016,1155,,0,1,0,60,0,0,,1
A1964,12/1/2016,2300,,0,0,0,12,0,0,,1
A1965,12/1/2016,4800,,0,1,0,192,0,0,,1
A1966,12/1/2016,1500,,0,0,0,0,0,0,,1
A1967,12/1/2016,3334,,0,1,1,300,0,0,,1
A1968,12/1/2016,2177,,0,1,1,48,0,0,,1
A1969,12/1/2016,1252,,0,1,1,125,0,0,,1
A1970,12/1/2016,5414,,0,1,1,384,0,0,,1
A1971,12/1/2016,6701,,0,0,0,372,0,0,,1
A1972,12/1/2016,3908,,0,1,1,168,0,0,,1
A1973,12/1/2016,4561,,0,1,1,120,0,0,,1
A1974,12/1/2016,4998,,0,1,0,180,0,0,,1
A1975,12/1/2016,4552,,0,1,1,90,0,0,,1
A1976,11/1/2016,2922,,0,0,0,0,0,0,,1
A1977,12/1/2016,2215,,0,1,1,180,0,0,,1
A1978,12/1/2016,3100,,0,1,1,60,0,0,,1
A1979,12/1/2016,4261,,0,0,0,36,0,0,,1
A1980,12/1/2016,3237,,0,1,1,168,0,0,,1
A1981,12/1/2016,2806,,0,0,0,120,0,0,,1
A1982,12/1/2016,3000,,0,1,0,12,0,0,,1
A1983,12/1/2016,5000,,0,1,0,72,0,0,,1
A1984,12/1/2016,1800,,0,0,0,36,0,0,,1
A1985,12/1/2016,1433,,0,0,1,0,0,0,,1
A1986,12/1/2016,2500,,0,0,1,0,0,0,,1
A1987,12/1/2016,1500,,0,1,1,24,0,0,,1
A1988,12/1/2016,1000,,0,0,1,432,0,0,,1
A1989,12/1/2016,3000,,0,0,0,0,0,0,,1
A1990,12/1/2016,6768,,0,1,1,891,0,0,,1
A1991,12/1/2016,1348,,0,1,1,144,0,0,,1
A1992,12/1/2016,3125,,0,0,0,0,0,0,,1
A1993,12/1/2016,6569,,0,1,0,156,0,0,,1
A1994,12/1/2016,2537,,0,1,0,11,0,0,,1
A1995,12/1/2016,2034,,0,1,1,12,0,0,,1
