user_id,referrer_type,days_since_purch
8932906,browse_search,42
1699952,obsessions,75
6222714,saved_search,38
2692554,flash_sale,83
9240212,obsessions,21
7834768,flash_sale,37
9295436,obsessions,27
1017922,flash_sale,100
1798332,Misc,60
9146694,obsessions,58
8795814,flash_sale,48
157958,Misc,86
610016,Misc,13
4399600,search,76
5998444,flash_sale,51
9061100,obsessions,74
7813602,saved_search,31
552324,flash_sale,100
6330890,obsessions,41
8338090,obsessions,3
6718840,flash_sale,47
5545936,ymal,70
2676520,Misc,30
5524328,obsessions,71
3753046,Misc,66
9093326,obsessions,62
1415010,obsessions,75
8570804,obsessions,44
2418040,flash_sale,41
6144876,saved_search,28
9037522,obsessions,72
4522144,obsessions,96
1964872,feeds,15
7847652,flash_sale,56
9107572,obsessions,67
9039468,search,19
6235344,obsessions,31
2203332,flash_sale,86
9026040,saved_search,11
767084,flash_sale,78
4276756,saved_search,5
5976270,search,98
1287924,saved_search,6
5957568,search,68
4811714,saved_search,22
7493622,obsessions,20
2330852,obsessions,100
7545962,flash_sale,70
5628064,flash_sale,36
6973428,obsessions,25
1880282,flash_sale,75
8517682,search,8
7423414,obsessions,80
9061166,search,78
2347078,obsessions,13
8743220,saved_search,60
4214428,search,94
9031726,obsessions,79
8825364,flash_sale,84
2697016,search,36
9348822,shop_browse_categories,18
6041264,browse_search,82
941928,obsessions,75
4481954,flash_sale,29
144030,flash_sale,92
9139940,obsessions,34
4564576,obsessions,84
2312266,browse_search,53
2059122,obsessions,6
4703962,flash_sale,35
743622,obsessions,91
4053426,feeds,62
6435964,search,69
6120458,Misc,101
7221952,search,77
9258156,search,35
9015224,obsessions,90
7227914,obsessions,38
8982706,obsessions,45
995588,flash_sale,22
2738154,ymal,37
7164374,search,86
8726160,obsessions,27
7147138,flash_sale,40
8504014,obsessions,60
7557234,feeds,18
1295892,search,69
1489450,obsessions,74
1601708,search,6
6317744,search,63
877888,carousel,51
6428438,search,55
8073796,obsessions,47
7658228,feeds,96
919218,flash_sale,76
9367852,search,14
278756,search,54
3264526,feeds,75
8668284,search,85
3624034,search,101
8942362,obsessions,80
6426834,search,44
2745696,search,95
6902390,obsessions,4
4537724,saved_search,77
1251628,saved_search,8
7200510,obsessions,88
6224094,obsessions,101
5856776,flash_sale,49
9101572,search,54
9050380,search,58
7605646,obsessions,47
152882,obsessions,47
773092,browse_search,13
1150120,obsessions,25
9254094,obsessions,27
7939830,flash_sale,1
6061542,obsessions,94
2060048,feeds,38
7218928,obsessions,62
5981398,search,29
2408428,ymal,50
9332332,saved_search,22
1579790,saved_search,59
8075576,obsessions,76
8951384,flash_sale,78
3280658,browse_search,46
6723532,carousel,44
8383902,search,36
7802044,search,43
7050678,saved_search,70
8138698,search,24
475894,flash_sale,74
6146824,saved_search,60
8369338,search,30
6304162,obsessions,92
9370038,shop_browse_categories,14
1396490,search,88
8884398,search,94
4915438,obsessions,37
338196,saved_search,53
6793340,flash_sale,9
6527124,obsessions,100
9326088,obsessions,20
1903360,obsessions,72
9022022,search,41
8156836,search,30
8887428,obsessions,76
9087282,saved_search,67
6513862,search,87
9253734,search,29
9071066,obsessions,33
9073682,browse_search,46
3048692,obsessions,95
2170088,obsessions,98
1278764,flash_sale,72
7031574,Misc,66
474990,search,29
1373756,obsessions,48
1799956,search,76
6123306,search,63
432026,search,44
5916340,search,2
1786364,Misc,79
8573104,flash_sale,25
6849062,saved_search,69
6736998,search,13
8433872,obsessions,89
1938374,search,24
8073980,flash_sale,41
8321712,search,88
406154,search,4
5456666,search,29
8170854,flash_sale,72
8782194,browse_search,1
2326260,search,29
6961848,Misc,57
3292376,obsessions,72
7750932,obsessions,13
4511712,browse_search,40
930588,obsessions,29
2768418,search,36
771656,flash_sale,20
961464,flash_sale,33
3110228,saved_search,50
9071972,saved_search,8
8830712,search,54
4415988,search,26
9240550,Misc,40
8070558,flash_sale,94
9059752,obsessions,79
9067966,feeds,2
8239008,obsessions,35
7538128,obsessions,46
7251846,saved_search,2
8421028,saved_search,13
1408310,search,47
7972674,flash_sale,101
7468862,obsessions,61
4655104,search,101
8870062,Misc,100
408316,obsessions,58
8393488,search,87
9133078,obsessions,27
9297548,search,14
7765554,search,15
4182016,flash_sale,11
9130286,deeplink,56
8585858,obsessions,51
9117806,obsessions,65
7861286,search,59
2782502,feeds,33
4764656,ymal,16
7462676,deeplink,18
9060492,saved_search,73
7970710,browse_search,40
7996648,search,6
8426802,search,11
8997708,shop_browse_categories,23
3210540,obsessions,76
4775054,Misc,88
8496004,search,61
409030,search,101
3015820,flash_sale,48
6491508,obsessions,96
4414404,obsessions,101
8135492,browse_search,24
8651430,obsessions,38
9264004,obsessions,35
7770704,browse_search,3
9336108,search,15
8918802,obsessions,37
9172436,obsessions,25
6544454,obsessions,47
6880908,search,95
5938372,ymal,100
502338,obsessions,76
1049586,search,82
1971842,obsessions,41
2498306,saved_search,20
7710554,search,58
7089584,obsessions,49
8690592,Misc,7
6975380,obsessions,74
6905404,flash_sale,80
8572042,search,52
9138424,browse_search,60
3557518,obsessions,56
2139542,browse_search,51
6453162,feeds,31
7434110,obsessions,55
228470,search,8
8352058,search,72
8995500,search,92
6695700,Misc,36
7543544,ymal,98
1702566,saved_search,41
7530686,search,72
6631950,obsessions,85
2178226,obsessions,13
9400278,search,7
9126744,saved_search,6
7858306,search,1
9147708,saved_search,48
8205122,search,23
1585598,search,21
9224470,flash_sale,44
2820428,search,37
5487028,obsessions,34
7430856,obsessions,20
276860,obsessions,100
3466,obsessions,99
8415700,flash_sale,58
8990664,obsessions,96
939872,saved_search,30
1286070,saved_search,20
6055878,search,24
3958244,search,101
9029804,obsessions,81
8281830,flash_sale,76
3139858,search,91
9086190,obsessions,66
8981788,obsessions,6
8548418,search,88
8873074,search,23
1389914,ymal,2
979124,flash_sale,92
4636722,obsessions,5
7479852,carousel,15
6663052,search,15
4854024,obsessions,41
6274530,search,100
2589152,obsessions,50
5596758,search,70
302480,search,7
7794204,obsessions,95
8531760,obsessions,2
9044644,browse_search,66
9156848,search,56
1461600,flash_sale,81
6219526,obsessions,54
5904668,obsessions,40
3299202,search,40
1270338,search,48
3958362,Misc,32
8504840,search,63
6423890,ymal,1
9243478,flash_sale,40
3519154,browse_search,86
1748028,ymal,49
4265200,search,8
7880874,browse_search,70
3080698,search,31
6373332,Misc,18
958448,search,58
5684142,obsessions,64
8966250,obsessions,100
7142848,search,62
8803174,flash_sale,92
9125466,flash_sale,63
8678246,obsessions,4
1479508,saved_search,67
8050990,obsessions,79
3961372,saved_search,54
6301492,search,19
2294778,obsessions,79
7728976,flash_sale,47
8158532,saved_search,57
713024,search,36
8831318,saved_search,47
2679042,browse_search,71
269588,obsessions,85
